Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	streamId	rnti	tbSize	mcs	rv	SINR(dB)	CQI	corrupt	TBler
0.403929	DL	40	3	0	1	12	1	0	0	1	416	0	0	54.3385	15	0	0
0.404929	DL	40	4	0	1	12	1	0	0	1	416	0	0	54.2297	15	0	0
0.405929	DL	40	5	0	1	12	1	0	0	1	416	0	0	54.155	15	0	0
0.406929	DL	40	6	0	1	12	1	0	0	1	416	0	0	54.106	15	0	0
0.407929	DL	40	7	0	1	12	1	0	0	1	416	0	0	54.0706	15	0	0
0.408929	DL	40	8	0	1	12	1	0	0	1	416	0	0	54.0365	15	0	0
0.409929	DL	40	9	0	1	12	1	0	0	1	12976	27	0	50.9837	15	0	0
0.409929	DL	40	9	0	1	12	1	0	1	1	416	0	0	48.9063	15	0	0
0.410929	DL	41	0	0	1	12	1	0	0	1	12976	27	0	50.9271	15	0	0
0.410929	DL	41	0	0	1	12	1	0	1	1	416	0	0	48.7972	15	0	0
0.411929	DL	41	1	0	1	12	1	0	0	1	12976	27	0	50.8551	15	0	0
0.411929	DL	41	1	0	1	12	1	0	1	1	416	0	0	47.4078	15	0	0
0.412929	DL	41	2	0	1	12	1	0	0	1	12976	27	0	50.7701	15	0	0
0.412929	DL	41	2	0	1	12	1	0	1	1	416	0	0	44.888	15	0	0
0.413929	DL	41	3	0	1	12	1	0	0	1	12976	27	0	50.6782	15	0	0
0.413929	DL	41	3	0	1	12	1	0	1	1	416	0	0	43.2478	15	0	0
0.414929	DL	41	4	0	1	12	1	0	0	1	12976	27	0	50.5878	15	0	0
0.414929	DL	41	4	0	1	12	1	0	1	1	416	0	0	45.2253	15	0	0
0.415929	DL	41	5	0	1	12	1	0	0	1	12976	27	0	44.5147	15	0	0
0.415929	DL	41	5	0	1	12	1	0	1	1	12976	27	0	45.7471	15	0	0
0.416929	DL	41	6	0	1	12	1	0	0	1	12976	27	0	44.6681	15	0	0
0.416929	DL	41	6	0	1	12	1	0	1	1	12976	27	0	45.8753	15	0	0
0.417929	DL	41	7	0	1	12	1	0	0	1	12976	27	0	44.9689	15	0	0
0.417929	DL	41	7	0	1	12	1	0	1	1	12976	27	0	45.8354	15	0	0
0.418929	DL	41	8	0	1	12	1	0	0	1	12976	27	0	45.189	15	0	0
0.418929	DL	41	8	0	1	12	1	0	1	1	12976	27	0	45.6506	15	0	0
0.419929	DL	41	9	0	1	12	1	0	0	1	12976	27	0	45.175	15	0	0
0.419929	DL	41	9	0	1	12	1	0	1	1	12976	27	0	45.4708	15	0	0
0.420929	DL	42	0	0	1	12	1	0	0	1	12976	27	0	44.9333	15	0	0
0.420929	DL	42	0	0	1	12	1	0	1	1	12976	27	0	45.4356	15	0	0
0.421929	DL	42	1	0	1	12	1	0	0	1	12976	27	0	44.6128	15	0	0
0.421929	DL	42	1	0	1	12	1	0	1	1	12976	27	0	45.5423	15	0	0
0.422929	DL	42	2	0	1	12	1	0	0	1	12976	27	0	44.4236	15	0	0
0.422929	DL	42	2	0	1	12	1	0	1	1	12976	27	0	45.6877	15	0	0
0.423929	DL	42	3	0	1	12	1	0	0	1	12976	27	0	44.4871	15	0	0
0.423929	DL	42	3	0	1	12	1	0	1	1	12976	27	0	45.7966	15	0	0
0.424929	DL	42	4	0	1	12	1	0	0	1	12976	27	0	44.7326	15	0	0
0.424929	DL	42	4	0	1	12	1	0	1	1	12976	27	0	45.8552	15	0	0
0.425929	DL	42	5	0	1	12	1	0	0	1	12976	27	0	44.9643	15	0	0
0.425929	DL	42	5	0	1	12	1	0	1	1	12976	27	0	45.8646	15	0	0
0.426929	DL	42	6	0	1	12	1	0	0	1	12976	27	0	45.0017	15	0	0
0.426929	DL	42	6	0	1	12	1	0	1	1	12976	27	0	45.8179	15	0	0
0.427929	DL	42	7	0	1	12	1	0	0	1	12976	27	0	44.7747	15	0	0
0.427929	DL	42	7	0	1	12	1	0	1	1	12976	27	0	45.7207	15	0	0
0.428929	DL	42	8	0	1	12	1	0	0	1	12976	27	0	44.3818	15	0	0
0.428929	DL	42	8	0	1	12	1	0	1	1	12976	27	0	45.5987	15	0	0
0.429929	DL	42	9	0	1	12	1	0	0	1	12976	27	0	44.0931	15	0	0
0.429929	DL	42	9	0	1	12	1	0	1	1	12976	27	0	45.4652	15	0	0
0.430929	DL	43	0	0	1	12	1	0	0	1	12976	27	0	44.1506	15	0	0
0.430929	DL	43	0	0	1	12	1	0	1	1	12976	27	0	45.3137	15	0	0
0.431929	DL	43	1	0	1	12	1	0	0	1	12976	27	0	44.4801	15	0	0
